1007807548198711296	Ximena94867970	2018-06-16 02:10:18	https://t.co/ds3oaw7p6e	Villa Alemana
1007807554473349120	Ampi_13	2018-06-16 02:10:19	@terezana95 buena tere que bueno que no cerraste twitter!. me gusta tu cuenta aunque a veces me deji hablando solo 🙄	Las Condes
1007807575843393536	_barbarasubero	2018-06-16 02:10:24	Maldita sea con alguien que responde indiferente	Iquique
1007807614091190272	CathyLeon	2018-06-16 02:10:34	@cejfal @TurkiAntof Winter is coming!	Antofagasta
1007807634739793921	380d14	2018-06-16 02:10:38	Holi (@ Terminal de Buses Collao in Concepción, Región del Biobío) https://t.co/XrAdwfbxiN	Concepción
1007807636471857152	palta_diego	2018-06-16 02:10:39	Saliendo! 😊😁 en… https://t.co/YaFPTDZ9kC	Santiago
1007807642557997056	Ampi_13	2018-06-16 02:10:40	@fran_moraleda que paaaaaja fran	Las Condes
1007807666817622017	marzo_05	2018-06-16 02:10:46	Noche fría de mojitos 🤣 https://t.co/MxcKGiOksB	Valparaíso
1007807668944343041	FranSolar	2018-06-16 02:10:47	@vale_ortega Buuu No worries ❤️	Providencia
1007807682026393601	Ampi_13	2018-06-16 02:10:50	@blogueviando jaja	Las Condes
1007807688108060680	pmura77	2018-06-16 02:10:51	@GolazoUCV Solo queda apoyar y rescatar lo positivo #VamosEverton  @RobertCarrascoG	Las Condes
1007807699575365632	SiempreYiya	2018-06-16 02:10:54	Jajaajaajajaja! Porque a mí no me resulta?? 😂😂😂😂😂🤣🤔🤔 https://t.co/F5UlltPsKY	Huechuraba
1007807699806048256	ixNN	2018-06-16 02:10:54	Para mi es válido el del partido ☝️ https://t.co/N1OpW3GWYs	Santiago
1007807714267926528	Reinaldeitor	2018-06-16 02:10:57	Vamos x un Nuevo… https://t.co/MBz5knUVk1	Puente Alto
1007807717031981061	Nilton_Araya	2018-06-16 02:10:58	Felicitaciones!!! @HidalgoErwin emocionante final.	Copiapó
1007807734190956544	PatagonaPazAmor	2018-06-16 02:11:02	@huachacomunista Para eso Tequila ... Por qué te duele la espaaaaaldaaa llioroooonaaaa te dueleeee laaa espaldaaaa… https://t.co/EuPHV0CtmB	Punta Arenas
1007807737001070592	Lia_livex	2018-06-16 02:11:03	Semana enfermita pero de le hizo empeño a… https://t.co/j0q9zHkzgt	Quilicura
1007807734153142277	MarceStrawberr	2018-06-16 02:11:02	Y si me estoy dando mucho color pa meterme al gym? 🤔	Río Negro
1007807766671568897	andresbodoque	2018-06-16 02:11:10	""" Oye, pusiste foto en wsp""
Obvio que no lo había agregado a contactos 😂"	Providencia
1007807767242072065	berliot	2018-06-16 02:11:10	Acabo de ver Editorial: El machismo en Casablanca - Haga clic ver también ☛  https://t.co/dcyySs813x @ForoChile… https://t.co/rSuGsQ3gyC	Viña del Mar
1007807734153142277	MarceStrawberr	2018-06-16 02:11:02	Y si me estoy dando mucho color pa meterme al gym? 🤔	Río Negro
1007807768219324416	ibaceta_nancy	2018-06-16 02:11:10	@PacitaPulgar No me queda claro, si por robar el celular, o meterte a Tinder o darle los like🤪	Vitacura
1007807773315354625	mvgonzalezc	2018-06-16 02:11:11	Nunca he entendido esa capacidad de las mujeres para hablar tanto por telefono… osea yo 5 minutos y ya estoy estresada.	Hualpén
